users,fuse,rs_comp,rs_transfer,users,fuse,bp_comp,bp_transfer
32, 1, 4, 107200,32, 1, 7, 267078
32, 1, 4, 107200,32, 1, 7, 267078
32, 1, 6, 107200,32, 1, 9, 267078
32, 1, 8, 107200,32, 1, 11, 267078
32, 1, 5, 107200,32, 1, 7, 267078
64, 1, 9, 205504,64, 1, 12, 267846
64, 1, 8, 205504,64, 1, 11, 267846
64, 1, 9, 205504,64, 1, 12, 267846
64, 1, 10, 205504,64, 1, 13, 267846
64, 1, 9, 205504,64, 1, 12, 267846
128, 1, 17, 402112,128, 1, 20, 269382
128, 1, 14, 402112,128, 1, 16, 269382
128, 1, 16, 402112,128, 1, 19, 269382
128, 1, 17, 402112,128, 1, 20, 269382
128, 1, 15, 402112,128, 1, 18, 269382
256, 1, 27, 795328,256, 1, 31, 272454
256, 1, 28, 795328,256, 1, 31, 272454
256, 1, 36, 795328,256, 1, 40, 272454
256, 1, 31, 795328,256, 1, 34, 272454
256, 1, 33, 795328,256, 1, 37, 272454
512, 1, 42, 1581760,512, 1, 47, 278598
512, 1, 48, 1581760,512, 1, 53, 278598
512, 1, 42, 1581760,512, 1, 46, 278598
512, 1, 43, 1581760,512, 1, 48, 278598
512, 1, 49, 1581760,512, 1, 54, 278598
1024, 1, 74, 3154624,1024, 1, 82, 553030
1024, 1, 72, 3154624,1024, 1, 81, 553030
1024, 1, 72, 3154624,1024, 1, 83, 553030
1024, 1, 76, 3154624,1024, 1, 85, 553030
1024, 1, 77, 3154624,1024, 1, 88, 553030
2048, 1, 128, 6300352,2048, 1, 142, 839750
2048, 1, 131, 6300352,2048, 1, 148, 839750
2048, 1, 130, 6300352,2048, 1, 146, 839750
2048, 1, 129, 6300352,2048, 1, 143, 839750
2048, 1, 128, 6300352,2048, 1, 143, 839750
4096, 1, 247, 12591808,4096, 1, 267, 1675334
4096, 1, 245, 12591808,4096, 1, 262, 1675334
4096, 1, 247, 12591808,4096, 1, 266, 1675334
4096, 1, 245, 12591808,4096, 1, 265, 1675334
4096, 1, 291, 12591808,4096, 1, 308, 1675334
8192, 1, 537, 25174720,8192, 1, 564, 3346502
8192, 1, 517, 25174720,8192, 1, 544, 3346502
8192, 1, 500, 25174720,8192, 1, 531, 3346502
8192, 1, 503, 25174720,8192, 1, 530, 3346502
8192, 1, 520, 25174720,8192, 1, 547, 3346502
16384, 1, 1016, 50340544,16384, 1, 1057, 6688838
16384, 1, 1037, 50340544,16384, 1, 1078, 6688838
16384, 1, 1021, 50340544,16384, 1, 1059, 6688838
16384, 1, 1016, 50340544,16384, 1, 1056, 6688838
16384, 1, 1041, 50340544,16384, 1, 1086, 6688838
32, 2, 9, 205504,32, 2, 12, 267846
32, 2, 11, 205504,32, 2, 14, 267846
32, 2, 9, 205504,32, 2, 12, 267846
32, 2, 10, 205504,32, 2, 13, 267846
32, 2, 10, 205504,32, 2, 12, 267846
64, 2, 15, 402112,64, 2, 18, 269382
64, 2, 18, 402112,64, 2, 21, 269382
64, 2, 14, 402112,64, 2, 17, 269382
64, 2, 15, 402112,64, 2, 17, 269382
64, 2, 15, 402112,64, 2, 18, 269382
128, 2, 27, 795328,128, 2, 31, 272454
128, 2, 37, 795328,128, 2, 41, 272454
128, 2, 27, 795328,128, 2, 31, 272454
128, 2, 35, 795328,128, 2, 39, 272454
128, 2, 37, 795328,128, 2, 41, 272454
256, 2, 43, 1581760,256, 2, 47, 278598
256, 2, 43, 1581760,256, 2, 47, 278598
256, 2, 50, 1581760,256, 2, 55, 278598
256, 2, 43, 1581760,256, 2, 47, 278598
256, 2, 43, 1581760,256, 2, 47, 278598
512, 2, 79, 3154624,512, 2, 90, 553030
512, 2, 72, 3154624,512, 2, 81, 553030
512, 2, 71, 3154624,512, 2, 80, 553030
512, 2, 80, 3154624,512, 2, 102, 553030
512, 2, 72, 3154624,512, 2, 81, 553030
1024, 2, 126, 6300352,1024, 2, 140, 839750
1024, 2, 125, 6300352,1024, 2, 139, 839750
1024, 2, 132, 6300352,1024, 2, 149, 839750
1024, 2, 126, 6300352,1024, 2, 140, 839750
1024, 2, 126, 6300352,1024, 2, 141, 839750
2048, 2, 243, 12591808,2048, 2, 265, 1675334
2048, 2, 244, 12591808,2048, 2, 264, 1675334
2048, 2, 248, 12591808,2048, 2, 270, 1675334
2048, 2, 245, 12591808,2048, 2, 264, 1675334
2048, 2, 250, 12591808,2048, 2, 272, 1675334
4096, 2, 510, 25174720,4096, 2, 541, 3346502
4096, 2, 506, 25174720,4096, 2, 533, 3346502
4096, 2, 491, 25174720,4096, 2, 518, 3346502
4096, 2, 491, 25174720,4096, 2, 518, 3346502
4096, 2, 510, 25174720,4096, 2, 540, 3346502
8192, 2, 999, 50340544,8192, 2, 1040, 6688838
8192, 2, 1010, 50340544,8192, 2, 1054, 6688838
8192, 2, 1031, 50340544,8192, 2, 1075, 6688838
8192, 2, 1018, 50340544,8192, 2, 1062, 6688838
8192, 2, 1020, 50340544,8192, 2, 1060, 6688838
16384, 2, 2108, 100672192,16384, 2, 2185, 13373510
16384, 2, 2038, 100672192,16384, 2, 2107, 13373510
16384, 2, 2141, 100672192,16384, 2, 2213, 13373510
16384, 2, 2096, 100672192,16384, 2, 2166, 13373510
16384, 2, 2093, 100672192,16384, 2, 2161, 13373510